legacy_id,uuid,name,equipment_type
293,0cd9ba35-51a7-4b31-bdd1-9946159bcd71,"Pushup (Weighted, Narrow Grip)",bodyweight loadable
294,d46444f5-0e91-4fb3-8ce1-b85b5f758cd3,"Pushup (Weighted, Normal Grip)",bodyweight loadable
295,e87f59d3-8e8e-4bfc-a859-349bcc3ecde9,"Reaching Sit-Up",bodyweight only
296,f9f8c399-cc9c-4849-8968-08f50aa8c813,"Reverse Curl",barbell
297,1c8fbc73-ed2c-4585-b662-d9dfd9a59cdd,"Reverse Hyper",machine
298,51d537b6-9276-4d53-b706-18b4941cfd66,"Reverse Lunge (Dumbbell)",dumbbell
299,ce662bb8-e84a-49bf-893a-41657ec11df9,"Rogers Good Morning",machine
300,9ff5e617-538b-41d5-9701-a9669fc1269d,"Rogers Reverse Lunge",machine
301,24dbed66-b440-4055-acb0-b772ccce58ac,"Rogers Squat",machine
302,8f8e628f-eef6-46b0-b404-39b6bff46cfc,"Seal Row",barbell
303,70acc692-06ff-4704-a1be-d07fdd752754,"Seated Cable Row (Single-Arm)",cable
304,47e804c0-c688-44d0-aab1-61233557390f,"Single Leg Press",machine
305,561d981c-24d5-4133-93fd-9903f25161cb,"Single Leg Romanian Deadlift",dumbbell
306,bf547c24-3457-4fe6-8424-962246a61e6a,"Sissy Squat (Machine)",bodyweight only
307,c9ebdafe-ee13-45aa-a8b6-4e958a4f7304,"Sissy Squat (No Machine)",bodyweight only
308,cd12cd43-eae8-40f2-86d2-aff86d2e85af,"Smith Machine Bench Press (Narrow Grip)",smith machine
309,3f8ffcb1-4457-48e5-934d-a1d437301508,"Smith Machine Bench Press (Wide Grip)",smith machine
310,2fe7ec80-9869-4813-8e78-07612540361f,"Smith Machine JM Press",smith machine
311,6a7b08a5-3ca9-45f5-b979-c8fbb5307bfd,"Smith Machine Press (High Incline, Medium Grip)",smith machine
312,0f170248-7fa2-444f-aee6-1e923f292a81,"Smith Machine Press (High Incline, Narrow Grip)",smith machine
313,6e9f904e-b231-4d51-9eb6-a1d61ddd68d9,"Smith Machine Press (High Incline, Wide Grip)",smith machine
314,fc64e3fd-5c5f-43bd-b031-81cf263792a5,"Smith Machine Press (Incline, Medium Grip)",smith machine
315,fa0f3910-aff3-43cd-8f9e-9faf79f4a5df,"Smith Machine Press (Incline, Wide Grip)",smith machine
316,6518fde3-6989-45e7-9eb5-c4a09fe03c47,"Smith Machine Press (Low Incline, Medium Grip)",smith machine
317,189611ae-5aff-4d40-b05f-e80aa8ef52e6,"Smith Machine Press (Low Incline, Narrow Grip)",smith machine
318,98a2a55f-a306-4ea7-9ab5-d9d977407d78,"Smith Machine Press (Low Incline, Wide Grip)",smith machine
319,ac7c1b14-d2f9-440f-8ca0-c36fd1f8abba,"Smith Machine Press (Medium Incline, Narrow Grip)",smith machine
320,b1b4ff72-de3b-438b-94d9-8b5c388fb233,"Smith Machine Row",smith machine
321,50a023b7-09f0-44af-93a5-94ba7bb95bd1,"Smith Machine Shrug",smith machine
322,da4f1b60-5ddd-4535-8ab8-dcbd3f224f97,"Smith Machine Skullcrusher",smith machine
323,d02df79c-8663-4a0a-a1e5-a84beebd5fc8,"Standing Calf Raise",machine
324,e3b7ed14-21de-4528-9a2c-6a8ff0f0871f,"Smith Machine Upright Row",smith machine
325,62ffa784-52d4-45eb-9388-87bad98cee24,"T-Bar Row",machine
326,ebe1c280-7e4e-470a-91b3-434eea5a5a00,"Trap Bar Deadlift",barbell
327,522a084a-4bfc-4b37-a45b-4052cc1dd81d,"V-Up (Weighted)",bodyweight loadable
328,ff1c69ce-fe7b-484a-8d77-83ca7c49f79c,"Walking Lunges (Glute-Focused, Dumbbell)",dumbbell
329,a7bf0ea6-803c-4aa6-8ed7-f52aecd4b7db,"Walking Lunges (Quad-Focused, Barbell)",barbell
330,404e2733-4b6e-4154-9aa1-1f28a4162818,"Walking Lunges (Quad-Focused, Dumbbell)",dumbbell
